,new,total,WOJ,POW,NAZWA,lat,long
163,0.0,0.0,26,9.0,powiat sandomierski,50.695103599999996,21.679877195978197
164,0.0,0.0,18,17.0,powiat sanocki,49.42978315,22.101303967055973
165,0.0,0.0,20,10.0,powiat siemiatycki,52.488889,22.884543556408765
166,0.0,0.0,10,14.0,powiat sieradzki,51.6037195,18.612827031251342
167,0.0,0.0,14,27.0,powiat sierpecki,52.8335996,19.691943695110538
168,0.0,0.0,10,15.0,powiat skierniewicki,51.94468755,20.009552327706285
169,0.0,0.0,18,18.0,powiat stalowowolski,50.5910262,22.091776064512587
170,0.0,0.0,26,11.0,powiat starachowicki,51.0538357,21.145951135413213
171,0.0,2.0,32,14.0,powiat stargardzki,53.3152879,15.1651032897048
172,0.0,0.0,26,12.0,powiat staszowski,50.5172498,21.306216441775774
173,0.0,2.0,16,11.0,powiat strzelecki,50.5294977,18.269227416432535
174,0.0,0.0,8,6.0,powiat strzelecko-drezdenecki,52.91231635,15.64815393856539
175,0.0,0.0,2,17.0,powiat strzeliński,50.766799,17.076615564313258
176,0.0,0.0,18,19.0,powiat strzyżowski,49.876524599999996,21.71591217101612
177,0.0,0.0,8,7.0,powiat sulęciński,52.427397549999995,15.180315644554113
178,0.0,1.0,28,17.0,powiat szczycieński,53.541742049999996,21.018362051755837
179,0.0,0.0,14,30.0,powiat szydłowiecki,51.256042699999995,20.84392539860568
180,0.0,1.0,8,5.0,powiat słubicki,52.32319505,14.73873196282951
181,0.0,0.0,24,13.0,powiat tarnogórski,50.472343499999994,18.879310592903682
182,0.0,0.0,22,14.0,powiat tczewski,53.918865049999994,18.747123157425225
183,0.0,0.0,6,18.0,powiat tomaszowski,50.47822645,23.579682194411255
184,0.0,0.0,10,16.0,powiat tomaszowski,50.47822645,23.579682194411255
185,0.0,0.0,2,20.0,powiat trzebnicki,51.3719056,17.049823054803895
186,0.0,0.0,12,18.0,powiat wadowicki,49.8942885,19.53470693406704
187,0.0,0.0,14,32.0,powiat warszawski zachodni,52.2684013,20.608405648472143
188,0.0,0.0,32,17.0,powiat wałecki,53.23570755,16.31916445562647
189,0.0,0.0,22,15.0,powiat wejherowski,54.61736835,18.101614685500984
190,0.0,0.0,12,19.0,powiat wielicki,49.98181865,20.17284806223359
191,0.0,0.0,24,15.0,powiat wodzisławski,49.993407149999996,18.44388013947817
192,0.0,0.0,30,29.0,powiat wolsztyński,52.0879324,16.100285128712613
193,0.0,0.0,14,34.0,powiat wołomiński,52.4061646,21.416125523605736
194,0.0,0.0,2,22.0,powiat wołowski,51.37211465,16.62711034434037
195,0.0,0.0,8,12.0,powiat wschowski,51.83020285,16.120000996476033
196,0.0,0.0,20,14.0,powiat zambrowski,53.022658899999996,22.24796561974756
197,1.0,2.0,24,16.0,powiat zawierciański,50.5442701,19.619601717431657
198,0.0,0.0,10,20.0,powiat zgierski,51.9038913,19.43926200949343
199,1.0,2.0,18,10.0,powiat łańcucki,50.08654905,22.27464232463597
200,0.0,0.0,6,11.0,powiat łukowski,51.85309695,22.11522865052938
201,0.0,0.0,30,26.0,powiat śremski,52.062481,17.100997794733544
202,0.0,0.0,2,19.0,powiat świdnicki,50.87042935,16.47761744813762
203,0.0,0.0,6,17.0,powiat świdnicki,50.87042935,16.47761744813762
204,0.0,0.0,32,16.0,powiat świdwiński,53.80651975,15.882216965014281
205,0.0,0.0,8,8.0,powiat świebodziński,52.237810249999995,15.506973618070116
206,0.0,0.0,8,10.0,powiat żagański,51.5942426,15.527949647442087
207,0.0,0.0,8,11.0,powiat żarski,51.6287068,15.007639434972987
208,0.0,0.0,4,19.0,powiat żniński,52.82236815,17.690682211567513
209,0.0,0.0,14,38.0,powiat żyrardowski,51.9997668,20.436349321994456
210,0.0,0.0,20,62.0,Łomża,53.18243065,22.052183817808846
211,3.0,5.0,10,61.0,Łódź,51.7687323,19.4569911
