Timestamp,new,total,Unnamed: 0,WOJ,POW,NAZWA,lat,long
2020-04-02,2.0,5.0,2591,20,10.0,powiat siemiatycki,52.488889,22.88454355640877
2020-04-02,0.0,1.0,1174,10,14.0,powiat sieradzki,51.603719500000004,18.612827031251346
2020-04-02,0.0,4.0,1917,14,27.0,powiat sierpecki,52.83359960000001,19.691943695110535
2020-04-02,0.0,1.0,1192,10,15.0,powiat skierniewicki,51.94468755,20.009552327706285
2020-04-02,0.0,0.0,1925,14,28.0,powiat sochaczewski,52.2666699,20.153679394942078
2020-04-02,0.0,0.0,2603,20,11.0,powiat sokólski,53.4351319,23.38573426914678
2020-04-02,0.0,8.0,2429,18,18.0,powiat stalowowolski,50.5910262,22.091776064512587
2020-04-02,2.0,6.0,3250,26,11.0,powiat starachowicki,51.0538357,21.14595113541321
2020-04-02,0.0,6.0,4121,32,14.0,powiat stargardzki,53.315287899999994,15.165103289704799
2020-04-02,0.0,0.0,2787,22,13.0,powiat starogardzki,53.899080500000004,18.371607124248555
2020-04-02,0.0,2.0,3258,26,12.0,powiat staszowski,50.517249799999995,21.306216441775774
2020-04-02,0.0,13.0,2195,16,11.0,powiat strzelecki,50.5294977,18.269227416432532
2020-04-02,0.0,2.0,914,8,6.0,powiat strzelecko-drezdenecki,52.91231635,15.64815393856539
2020-04-02,0.0,2.0,180,2,17.0,powiat strzeliński,50.766799,17.076615564313258
2020-04-02,0.0,4.0,2438,18,19.0,powiat strzyżowski,49.8765246,21.71591217101612
2020-04-02,0.0,2.0,926,8,7.0,powiat sulęciński,52.42739755,15.180315644554115
2020-04-02,0.0,0.0,1496,12,15.0,powiat suski,49.7016195,19.648332927056643
2020-04-02,0.0,0.0,3839,30,24.0,powiat szamotulski,52.58390970000001,16.478471790171774
2020-04-02,0.0,1.0,3465,28,17.0,powiat szczycieński,53.54174205,21.01836205175584
2020-04-02,3.0,8.0,1946,14,30.0,powiat szydłowiecki,51.2560427,20.84392539860568
2020-04-02,0.0,3.0,900,8,5.0,powiat słubicki,52.32319505,14.738731962829508
2020-04-02,0.0,0.0,3828,30,23.0,powiat słupecki,52.31422675,17.888178607933114
2020-04-02,0.0,15.0,2994,24,13.0,powiat tarnogórski,50.4723435,18.879310592903682
2020-04-02,0.0,0.0,1539,12,17.0,powiat tatrzański,49.3035301,19.964453474081946
2020-04-02,0.0,2.0,2805,22,14.0,powiat tczewski,53.91886505,18.74712315742523
2020-04-02,0.0,5.0,790,6,18.0,powiat tomaszowski,50.47822645,23.579682194411248
2020-04-02,0.0,5.0,1202,10,16.0,powiat tomaszowski,50.47822645,23.579682194411248
2020-04-02,1.0,2.0,213,2,20.0,powiat trzebnicki,51.371905600000005,17.049823054803895
2020-04-02,0.0,5.0,1545,12,18.0,powiat wadowicki,49.8942885,19.53470693406704
2020-04-02,3.0,5.0,1954,14,32.0,powiat warszawski zachodni,52.2684013,20.608405648472143
2020-04-02,0.0,1.0,4162,32,17.0,powiat wałecki,53.23570755,16.31916445562647
2020-04-02,3.0,14.0,2816,22,15.0,powiat wejherowski,54.61736835,18.101614685500984
2020-04-02,0.0,32.0,1562,12,19.0,powiat wielicki,49.98181865,20.172848062233587
2020-04-02,0.0,1.0,3010,24,15.0,powiat wodzisławski,49.99340715,18.44388013947817
2020-04-02,0.0,1.0,3901,30,29.0,powiat wolsztyński,52.0879324,16.100285128712613
2020-04-02,5.0,25.0,1980,14,34.0,powiat wołomiński,52.406164600000004,21.416125523605736
2020-04-02,0.0,1.0,241,2,22.0,powiat wołowski,51.37211465,16.62711034434037
2020-04-02,0.0,0.0,3907,30,30.0,powiat wrzesiński,52.24107775,17.614288024094847
2020-04-02,0.0,6.0,1000,8,12.0,powiat wschowski,51.83020285,16.120000996476033
2020-04-02,0.0,0.0,2632,20,13.0,powiat wysokomazowiecki,52.86512825,22.52085905879357
2020-04-02,0.0,0.0,502,4,17.0,powiat wąbrzeski,53.28234430000001,18.92814391712039
2020-04-02,0.0,0.0,3889,30,28.0,powiat wągrowiecki,52.82531005,17.29163156143427
2020-04-02,0.0,0.0,3484,28,19.0,powiat węgorzewski,54.2069539,21.791816192537087
2020-04-02,0.0,0.0,1968,14,33.0,powiat węgrowski,52.45638685,21.946417084473424
2020-04-02,0.0,0.0,3277,26,13.0,powiat włoszczowski,50.83212365,19.974749353100695
2020-04-02,0.0,1.0,2649,20,14.0,powiat zambrowski,53.0226589,22.247965619747557
2020-04-02,0.0,8.0,3020,24,16.0,powiat zawierciański,50.5442701,19.619601717431657
2020-04-02,0.0,14.0,1246,10,20.0,powiat zgierski,51.90389129999999,19.43926200949343
2020-04-02,0.0,1.0,281,2,25.0,powiat zgorzelecki,51.1630251,15.076735672780087
2020-04-02,0.0,0.0,295,2,26.0,powiat złotoryjski,51.09132510000001,15.878005385714285
2020-04-02,0.0,0.0,3921,30,31.0,powiat złotowski,53.412557299999996,16.87807882470115
2020-04-02,1.0,7.0,2321,18,10.0,powiat łańcucki,50.08654905,22.27464232463597
2020-04-02,0.0,0.0,4174,32,18.0,powiat łobeski,53.672978500000006,15.516318197896295
2020-04-02,0.0,0.0,1688,14,10.0,powiat łosicki,52.22376975,22.83752980509017
2020-04-02,0.0,2.0,712,6,11.0,powiat łukowski,51.85309695,22.11522865052938
2020-04-02,0.0,1.0,703,6,10.0,powiat łęczyński,51.3045581,22.995654201039716
2020-04-02,0.0,0.0,190,2,18.0,powiat średzki,51.1261995,16.62997938420635
