,WOJ,POW,NAZWA,lat,long
3377,28,9.0,powiat lidzbarski,54.105782399999995,20.427427993257282
3385,28,10.0,powiat mrągowski,53.8108457,21.40278094456329
3393,28,11.0,powiat nidzicki,53.37347615,20.4883074922381
3400,28,12.0,powiat nowomiejski,53.43573635,19.54927877039548
3406,28,13.0,powiat olecki,54.05127005,22.40859883017808
3413,28,14.0,powiat olsztyński,53.7787443,20.73302702975424
3436,28,15.0,powiat ostródzki,53.72917325,19.93416652149
3452,28,16.0,powiat piski,53.680787800000004,21.822211854231615
3465,28,17.0,powiat szczycieński,53.541742049999996,21.018362051755837
3478,28,18.0,powiat gołdapski,54.26102275,22.28107341680129
3484,28,19.0,powiat węgorzewski,54.2069539,21.79181619253709
3490,28,61.0,Elbląg,54.1988997,19.44108568736702
3492,28,62.0,Olsztyn,53.7767239,20.477781292210345
3495,30,1.0,powiat chodzieski,52.9526027,16.969066424895043
3505,30,2.0,powiat czarnkowsko-trzcianecki,52.92876845,16.372969704522475
3520,30,3.0,powiat gnieźnieński,52.55358914999999,17.58683037724417
3539,30,4.0,powiat gostyński,51.83777195,17.09558998626292
3557,30,5.0,powiat grodziski,52.06340865,20.600240305298207
3569,30,6.0,powiat jarociński,52.0098897,17.513358636115164
3580,30,7.0,powiat kaliski,51.7892781,18.254692589010972
3596,30,8.0,powiat kępiński,51.248610299999996,17.956686629320636
3606,30,9.0,powiat kolski,52.2447698,18.818172702641625
3624,30,10.0,powiat koniński,52.258547899999996,18.409102470809508
3649,30,11.0,powiat kościański,52.06606645,16.66913878248318
3661,30,12.0,powiat krotoszyński,51.74117665,17.431656750422935
3676,30,13.0,powiat leszczyński,51.8500649,16.737710773395786
3688,30,14.0,powiat międzychodzki,52.601512150000005,16.034005128116473
3697,30,15.0,powiat nowotomyski,52.348680349999995,16.17831670093531
3712,30,16.0,powiat obornicki,52.716410499999995,16.846005129395348
3720,30,17.0,powiat ostrowski,52.795039349999996,21.988753353928487
3735,30,18.0,powiat ostrzeszowski,51.43762425,17.974781588512514
3749,30,19.0,powiat pilski,53.157725400000004,16.89300780900459
3767,30,20.0,powiat pleszewski,51.9254229,17.82480074557232
3780,30,21.0,powiat poznański,52.4160308,17.21503055779803
3814,30,22.0,powiat rawicki,51.6452891,16.984542627789025
3828,30,23.0,powiat słupecki,52.31422675,17.888178607933114
3839,30,24.0,powiat szamotulski,52.58390970000001,16.478471790171774
3856,30,25.0,powiat średzki,51.1261995,16.62997938420635
3864,30,26.0,powiat śremski,52.062481,17.100997794733544
3875,30,27.0,powiat turecki,51.9955584,18.492895433595386
3889,30,28.0,powiat wągrowiecki,52.82531005,17.29163156143427
3901,30,29.0,powiat wolsztyński,52.0879324,16.100285128712613
3907,30,30.0,powiat wrzesiński,52.24107775,17.614288024094847
3921,30,31.0,powiat złotowski,53.4125573,16.87807882470115
3936,30,61.0,Kalisz,51.74736505,18.079590087700034
3938,30,62.0,Konin,52.25590205,18.267866211748718
3940,30,63.0,Leszno,51.8436068,16.58042182076424
3942,30,64.0,Poznań,52.40063215,16.91978694287606
3950,32,1.0,powiat białogardzki,53.976545900000005,16.054541633349306
3959,32,2.0,powiat choszczeński,53.14329875,15.650420069936263
3974,32,3.0,powiat drawski,53.44738045,16.040462401389856
3988,32,4.0,powiat goleniowski,53.61047765,14.89751323693808
4003,32,5.0,powiat gryficki,53.94314005,15.259880486631474
4016,32,6.0,powiat gryfiński,53.02288585,14.506296155841653
4038,32,7.0,powiat kamieński,53.9113443,14.71110950200368
4055,32,8.0,powiat kołobrzeski,54.0496789,15.599773536245072
4065,32,9.0,powiat koszaliński,54.109561,16.43987528598238
4082,32,10.0,powiat myśliborski,52.8546739,14.77607708054189
4094,32,11.0,powiat policki,53.5321201,14.43619105091408
4103,32,12.0,powiat pyrzycki,53.1241415,14.967123443182196
4114,32,13.0,powiat sławieński,54.3800906,16.582639440491477
4121,32,14.0,powiat stargardzki,53.3152879,15.1651032897048
4140,32,15.0,powiat szczecinecki,53.73763995,16.559595784652558
4153,32,16.0,powiat świdwiński,53.80651975,15.882216965014281
4162,32,17.0,powiat wałecki,53.23570755,16.31916445562647
4174,32,18.0,powiat łobeski,53.6729785,15.516318197896297
4188,32,61.0,Koszalin,54.20727105,16.217530768271565
4190,32,62.0,Szczecin,53.42968095,14.592912670292268
4192,32,63.0,Świnoujście,53.827032849999995,14.335691469388852
